Date,Description,Amount,Balance
10/15/2021 06:24PM,Palladium,-1,145
10/15/2021 11:05AM,KMP,-1,146
10/14/2021 07:27PM,Breakfst & Co.,-1,147
10/14/2021 12:29PM,18 Below,-1,148
10/13/2021 05:35PM,Breakfst & Co.,-1,149
10/12/2021 05:15PM,Palladium,-1,150
10/12/2021 11:35AM,Palladium,1,151
10/11/2021 06:15PM,Palladium,-1,150
10/11/2021 12:31PM,Third North Dining,-1,151
10/10/2021 06:01PM,Palladium,-1,152
10/09/2021 07:25PM,Palladium,-1,153
10/09/2021 12:38PM,Palladium,-1,154
10/08/2021 05:56PM,Palladium,-1,155
10/08/2021 11:03AM,KMP,-1,156
10/07/2021 12:18PM,370 Jay St Coffee,-1,157
10/06/2021 06:06PM,Breakfst & Co.,-1,158
10/06/2021 11:49AM,KMP,-1,159
10/05/2021 11:58AM,18 Below,-1,160
10/04/2021 04:24PM,Breakfst & Co.,-1,161
10/03/2021 06:48PM,Palladium,-1,162
10/02/2021 06:13PM,Breakfst & Co.,-1,163
10/02/2021 12:38PM,Dunkin Donuts,-1,164
10/01/2021 06:59PM,Sidestein,-1,165
10/01/2021 06:47PM,Downstein,-1,166
10/01/2021 11:02AM,KMP,-1,167
9/30/2021 06:24PM,Jasper Kane,-1,168
9/30/2021 01:00PM,18 Below,-1,169
9/28/2021 07:04PM,Palladium,-1,170
9/28/2021 12:05PM,18 Below,-1,171
9/27/2021 04:57PM,Palladium,-1,172
9/26/2021 05:07PM,Palladium,-1,173
9/26/2021 03:49PM,Sidestein,-1,174
9/25/2021 05:15PM,Breakfst & Co.,-1,175
9/25/2021 11:28AM,Palladium,-1,176
9/24/2021 11:06AM,KMP,-1,177
9/23/2021 11:26AM,370 Jay St Coffee,-2,178
9/22/2021 05:53PM,Palladium,-1,180
9/21/2021 06:56PM,Palladium,-1,181
9/21/2021 12:36PM,18 Below,-1,182
9/20/2021 04:39PM,Breakfst & Co.,-1,183
9/19/2021 05:32PM,Palladium,-1,184
9/19/2021 12:48PM,Downstein,-1,185
9/18/2021 06:46PM,Breakfst & Co.,-1,186
9/18/2021 12:00PM,Palladium,-1,187
9/17/2021 07:19PM,Sidestein,-1,188
9/17/2021 06:26PM,Downstein,-1,189
9/17/2021 11:05AM,KMP,-1,190
9/16/2021 07:02PM,Breakfst & Co.,-1,191
9/16/2021 12:36PM,18 Below,-1,192
9/15/2021 06:30PM,Palladium,-1,193
9/14/2021 07:08PM,Palladium,-1,194
9/13/2021 04:17PM,Palladium,-1,195
9/13/2021 11:22AM,KMP,-1,196
9/12/2021 06:18PM,Palladium,-1,197
9/12/2021 12:11PM,Palladium,-2,198
9/11/2021 06:41PM,Palladium,-1,200
9/11/2021 12:40PM,Palladium,-1,201
9/10/2021 04:46PM,Palladium,-1,202
9/10/2021 11:04AM,KMP,-1,203
9/09/2021 06:58PM,Jasper Kane,-1,204
9/09/2021 12:44PM,370 Jay St Coffee,-1,205
9/08/2021 05:05PM,Palladium,-1,206
9/08/2021 09:28AM,Downstein,-1,207
9/07/2021 07:09PM,Breakfst & Co.,-1,208
9/07/2021 12:54PM,18 Below,-1,209
9/06/2021 05:15PM,Downstein,-1,210
9/05/2021 05:34PM,Sidestein,-1,211
9/05/2021 05:28PM,Upstein,-1,212
9/04/2021 06:46PM,Breakfst & Co.,-1,213
9/03/2021 06:08PM,Downstein,-1,214
9/03/2021 12:02PM,Upstein,-1,215
9/02/2021 07:32PM,Palladium,-1,216
9/02/2021 02:07PM,370 Jay St Coffee,-1,217
9/01/2021 05:19PM,Palladium,-1,218
8/31/2021 05:16PM,Palladium,-1,219
8/30/2021 06:34PM,Downstein,-1,220
8/29/2021 11:17AM,Third North Dining,-1,221
8/28/2021 07:02PM,Third North Dining,-1,222
8/28/2021 01:07PM,Downstein,-1,223
8/27/2021 06:55PM,Third North Dining,-1,224

